hhnum,snapnowhh,inchhavg_r,hhsize,hh_expenses,med_expenses,sum_snap_dist,fah_paid,fafh_paid,totalpaid
100012,1,4667.33,5,161.2,85.93,3.83,22.24,10.6,32.83
100015,0,1200.0,1,378.0,243.0,5.430000000000001,17.65,54.6,72.25
100024,0,5024.5,2,681.0,182.5,17.59,41.48,138.72,180.2
100026,0,1800.0,2,66.0,248.42,42.23,61.48,8.02,69.49
100028,1,3998.0,7,104.43,4.86,10.25,12.71,1.43,14.14
100031,0,7820.65184448042,2,317.0,260.83,4.42,30.74,2.5,33.24
100049,0,3263.338,3,195.0,59.17,10.09,29.85,2.33,32.18
100053,0,3033.33,2,506.0,5.0,26.57,26.52,0.0,26.52
100054,0,15000.0,4,895.75,395.5,6.99,97.79,0.0,97.79
100055,0,2000.0,4,152.92,182.5,29.43,68.54,61.49,130.03
100059,0,5995.0,4,526.25,5.0,6.74,4.73,12.28,17.01
100061,0,3025.4,1,545.0,0.0,11.65,150.75,19.6,170.35
100067,0,8952.67,6,150.67,213.11,8.26,23.67,1.42,25.09
100074,0,6253.0,5,124.0,17.0,7.66,8.07,2.03,10.1
100076,1,4580.0,4,92.02,133.5,8.98,105.85,0.62,106.48
100083,0,1523.0,1,685.0,125.0,18.17,0.0,149.4,149.4
100088,0,3600.0,3,291.67,264.33,9.06,83.39,33.47,116.86
100093,0,4200.0,5,474.0,0.0,6.48,19.16,2.75,21.91
100095,0,1534.0,1,1000.08,193.11,8.559999999999999,49.79,0.0,49.79
100106,0,2613.0,3,339.0,29.33,18.459999999999997,30.16,0.0,30.16
100107,1,1192.64367307287,4,173.25,0.0,9.71,1.04,0.0,1.04
100110,1,2639.98988940414,5,130.02,0.0,39.28,2.84,0.0,2.84
100114,0,7900.0,1,847.5,40.0,12.329999999999998,15.78,6.75,22.53
100128,0,2546.0,2,306.5,202.0,11.51,25.09,17.15,42.24
100132,1,855.4,7,144.29,0.0,4.35,5.46,1.19,6.65
100135,1,615.77409997,2,212.5,0.0,34.17,97.64,12.07,109.71
100138,1,6976.60057670997,9,126.11,8.33,5.82,14.17,6.56,20.73
100140,0,21805.45279398,5,344.6,0.0,7.23,10.36,4.3,14.67
100146,0,1260.0,1,452.05,4.67,10.58,41.63,21.28,62.91
100150,1,1716.33,4,182.5,0.0,6.069999999999999,10.03,7.51,17.54
100151,1,4223.0,5,159.4,105.0,15.280000000000001,21.81,23.13,44.93
100155,0,10080.0,2,379.16,87.5,39.60999999999999,82.4,4.85,87.26
100158,0,11970.0,10,155.7,41.7,3.44,15.61,1.41,17.02
100159,1,212.786485140315,3,107.19,0.0,10.78,21.51,5.83,27.34
100162,0,1120.0,1,545.0,0.0,5.7700000000000005,15.03,4.92,19.95
100174,1,1574.0,4,216.08,0.0,31.75,23.24,10.82,34.06
100183,0,877.5,5,141.4,90.23,22.05,3.74,0.34,4.08
100186,0,5680.0,1,786.0,48.0,28.04,156.02,14.85,170.87
100188,0,2300.0,2,719.0,7.5,4.92,33.16,1.69,34.85
100192,1,2673.338,6,73.39,0.0,7.22,62.23,4.53,66.76
100194,0,6325.0,4,271.75,156.25,6.1,44.73,2.36,47.09
100203,0,1550.0,3,156.53,294.33,9.129999999999999,30.37,10.89,41.26
100207,0,2800.0,2,537.5,516.66,13.66,108.16,12.36,120.52
100209,1,1260.0,5,182.0,161.0,4.29,20.78,1.57,22.34
100210,0,6500.0,5,242.67,20.0,19.860000000000003,70.85,0.69,71.54
100220,1,1680.0,4,163.75,0.0,8.51,1.79,1.3,3.08
100223,0,3000.0,4,215.25,50.5,22.53,61.53,1.97,63.5
100225,0,1973.67,2,191.67,60.0,5.46,36.9,10.58,47.48
100228,0,13797.0,3,1425.53,85.52,29.98,27.14,5.21,32.34
