"hhnum","infousa_flag","snap1","snap2","snap3","snap4","snap5","snap6","snap7","snap8","ss1","ss2","ss3","ss4","ss5","ss6","ss7","ss8","sm1","sm2","sm3","sm4","sm5","sm6","sm7","sm8","co1","co2","co3","co4","co5","co6","co7","co8","cs1","cs2","cs3","cs4","cs5","cs6","cs7","cs8","mlg1","mlg2","mlg3","mlg4","mlg5","mlg6","mlg7","mlg8","dist_ss","dist_sm","dist_co","dist_cs","dist_mlg","dist_walmart","nearsnap_placeid","nearsnap_stype","nearsnap_dist","nearsmss_placeid","nearsmss_stype","nearsmss_dist","ff1","ff2","ff3","ff4","ff5","ff6","ff7","ff8","nonff1","nonff2","nonff3","nonff4","nonff5","nonff6","nonff7","nonff8","nearff_sic1","nearff_sic2","nearff_dist","nearnonff_sic1","nearnonff_sic2","nearnonff_dist","nearmcd_sic1","nearmcd_sic2","nearmcd_dist"
100012,1,0,4,9,16,19,22,37,188,0,0,1,2,2,2,3,13,0,1,1,1,1,1,1,14,0,1,5,5,7,8,14,67,0,0,0,4,5,7,12,62,0,2,2,3,3,3,6,11,0.9,0.33,0.34,1.03,0.33,0.9,1017721,"SM",0.33,1017721,"SM",0.33,0,1,10,11,12,12,14,77,0,4,15,21,26,26,36,222,581208,581206,0.3,581208,581208,0.3,581208,581206,0.527480057106124
100015,1,1,6,18,43,52,80,118,512,0,0,1,2,2,3,5,21,0,0,0,3,5,6,9,41,0,1,4,12,14,20,27,141,0,3,10,15,17,30,43,182,0,0,0,3,3,7,10,36,0.94,1.05,0.32,0.26,1.16,1.7,,"ME",0.19,1160329,"SS",0.94,1,1,2,15,16,22,28,39,2,4,16,35,43,60,75,113,581208,581206,0.21,581208,581208,0.2,581208,581206,1.54610267112284
100024,1,0,0,2,10,67,275,327,382,0,0,1,4,18,66,80,89,0,0,0,0,1,8,10,12,0,0,0,2,20,83,98,116,0,0,0,2,14,63,77,93,0,0,0,0,0,9,10,15,0.92,4.77,1.16,1.72,5.46,3.56,,"BB",0.9,1102197,"SS",0.92,0,0,7,18,30,69,75,95,0,3,15,30,62,142,149,220,581208,581206,0.85,581208,581208,0.37,581208,581206,0.846445501643462
100026,1,0,0,0,2,3,20,69,408,0,0,0,0,0,1,3,32,0,0,0,0,0,0,7,35,0,0,0,1,1,5,22,125,0,0,0,0,0,10,29,169,0,0,0,1,2,3,5,14,8.05,12.3,1.84,7.2,1.72,11.12,1135126,"LG",1.72,,"SS",8.05,0,0,0,0,0,0,21,49,0,0,0,2,2,4,37,98,581208,581206,10.93,581224,581224,1.7,581208,581206,11.9870266696715
100028,1,0,1,12,40,64,90,125,294,0,0,0,0,4,5,6,22,0,0,0,3,5,7,11,21,0,0,0,7,16,23,31,79,0,1,7,19,27,39,54,112,0,0,1,1,1,3,6,18,2.96,1.17,1,0.41,0.54,4.17,1116418,"CS",0.41,1104922,"SM",1.17,0,0,4,12,37,44,52,53,0,2,25,82,151,207,239,250,541103,581208,0.86,581208,581208,0.46,581208,581206,1.44114224365774
100031,1,1,10,25,93,506,786,909,1067,0,0,0,2,19,33,43,47,0,1,2,2,23,49,60,79,0,5,8,27,103,189,224,278,1,4,12,47,260,378,429,486,0,0,2,4,27,40,44,51,1.02,0.44,0.29,0.12,0.69,1.86,1169768,"CS",0.12,1016539,"SM",0.44,2,6,8,15,144,279,320,345,6,25,40,142,708,1276,1431,1580,581208,581206,0.17,581208,581208,0.18,581208,581206,0.456220454888743
100040,1,0,3,8,48,120,287,585,1623,0,0,0,1,6,14,25,69,0,0,0,3,12,39,80,191,0,0,2,13,32,69,167,466,0,3,6,24,52,132,252,707,0,0,0,3,5,14,24,73,1.5,1.23,0.5,0.33,1.01,1.5,,"CS",0.33,1006129,"SM",1.23,0,0,0,19,69,151,196,196,0,1,6,43,215,471,606,608,581208,581206,1.03,581212,581212,0.35,581208,581206,1.69398125757782
100049,1,2,2,7,17,85,96,99,108,0,0,1,2,15,17,17,17,0,0,0,0,1,1,1,1,1,1,2,2,18,21,21,21,1,1,3,10,27,31,34,37,0,0,0,1,4,4,4,8,0.57,3.92,0.23,0.17,1.76,3.44,1103340,"CS",0.17,1005837,"SS",0.57,4,8,9,17,71,89,89,90,5,7,12,48,185,219,220,231,581208,581206,0.06,581208,581208,0.06,581208,581206,0.120682622889952
100053,1,0,0,7,20,63,153,212,405,0,0,0,0,3,6,10,14,0,0,1,4,10,27,36,56,0,0,3,8,27,62,84,155,0,0,1,5,16,38,58,126,0,0,0,0,0,0,0,5,2.03,0.69,0.65,0.97,20.2,2.03,1007224,"CO",0.65,1101438,"SM",0.69,0,0,7,15,52,122,155,212,0,0,22,47,216,491,650,927,581222,581206,0.64,581208,581208,0.63,581208,581206,1.70924265806045
100054,2,0,2,7,29,90,217,554,2427,0,0,1,4,12,34,71,270,0,1,2,9,30,72,127,368,0,1,2,7,26,60,131,506,0,0,1,5,16,32,151,930,0,0,1,4,6,14,48,180,0.95,0.4,0.42,0.5,0.97,3.75,1165511,"SM",0.4,1165511,"SM",0.4,0,4,12,47,158,339,649,1057,2,17,62,184,507,1290,2520,4238,581208,581208,0.32,581228,581228,0.17,581208,581206,0.816661788645919
100055,1,0,0,0,0,5,23,53,371,0,0,0,0,0,1,2,24,0,0,0,0,1,4,7,28,0,0,0,0,1,5,10,109,0,0,0,0,3,10,25,148,0,0,0,0,0,1,1,16,8.03,2.59,2.51,2.61,5.66,8.03,1040807,"CO",2.51,1030941,"SM",2.59,0,0,0,0,0,8,15,28,0,0,0,0,1,11,32,72,581208,581206,9.01,546102,581212,3.29,581208,581206,9.99285856711727
100059,2,1,1,10,57,324,779,1306,5117,0,0,0,9,34,82,127,352,0,0,2,2,33,79,161,416,0,0,3,9,52,122,226,740,1,1,5,27,148,342,473,2209,0,0,0,2,22,68,130,524,1.01,0.68,0.7,0.16,1.58,2.61,1158210,"CS",0.16,1008589,"SM",0.68,1,1,11,53,237,369,520,1168,0,0,16,113,698,1514,2934,7147,581208,581206,0.23,581208,581208,0.69,581208,581206,0.951759567032912
100060,1,0,5,7,30,136,194,221,493,0,1,1,5,14,22,25,47,0,0,0,0,6,9,11,18,0,2,2,8,32,47,56,120,0,1,2,10,62,87,95,239,0,1,1,2,7,8,9,25,0.41,2.2,0.33,0.38,0.41,3.48,1174467,"CO",0.33,1072696,"SS",0.41,0,2,7,30,91,119,122,137,0,7,17,74,299,378,412,473,581208,581206,0.29,581208,581208,0.29,581208,581206,0.821095860901458
100061,1,2,2,9,23,118,153,160,217,0,0,0,0,5,6,7,10,0,0,1,1,6,8,8,9,1,1,3,7,30,43,44,60,1,1,5,13,72,89,94,127,0,0,0,0,1,2,2,4,2.8,0.55,0.25,0.23,4.73,3.09,,"CS",0.23,1114620,"SM",0.55,0,0,18,25,97,122,125,131,0,4,21,71,238,315,337,364,581208,581206,0.55,581203,581203,0.32,581208,581206,0.787591224921659
100067,1,0,0,2,7,54,90,102,169,0,0,0,1,1,6,6,13,0,0,0,2,5,8,9,15,0,0,1,3,16,28,30,49,0,0,1,1,26,36,43,69,0,0,0,0,4,4,5,10,1.05,1.17,0.98,0.94,3.07,1.05,1066135,"CS",0.94,1024659,"SS",1.05,0,0,1,6,29,56,56,56,0,0,2,17,96,169,175,175,581208,581206,0.97,581203,581203,0.96,581208,581206,1.29859762123598
100069,1,0,0,5,21,159,281,311,438,0,0,0,0,14,27,29,43,0,0,0,3,17,27,29,36,0,0,0,2,28,52,57,87,0,0,4,11,74,123,139,191,0,0,0,0,5,10,11,13,2.14,1.5,1.48,0.62,2.39,2.28,,"CS",0.62,1051321,"SM",1.5,0,0,0,7,103,185,210,221,0,1,3,22,313,662,720,763,581208,581206,1.51,581208,581208,0.47,581208,581206,2.36867213713789
100073,1,0,0,0,0,1,3,19,148,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,7,0,0,0,0,0,0,6,36,0,0,0,0,1,3,9,58,0,0,0,0,0,0,0,13,10.88,13.7,10.71,4.03,18,28.96,1070811,"CS",4.03,1049502,"SS",10.88,0,0,0,0,0,0,5,30,0,0,0,0,1,2,24,146,581208,581206,10.84,581208,581208,4.18,581208,581206,10.8367931293393
100074,1,1,7,24,46,67,90,127,281,0,0,0,0,4,5,6,21,0,0,2,4,5,7,11,20,1,1,1,11,16,22,32,76,0,4,13,20,29,40,53,105,0,0,1,1,1,3,6,18,2.31,0.66,0.08,0.29,0.75,3.57,,"CO",0.08,1104922,"SM",0.66,0,2,3,18,39,45,52,53,1,14,37,104,156,210,244,250,581222,581206,0.36,581208,581208,0.04,581208,581206,1.82244115615142
100076,1,0,0,6,32,92,96,99,108,0,0,0,2,16,17,17,17,0,0,0,0,1,1,1,1,0,0,2,5,20,21,21,21,0,0,1,15,29,31,34,37,0,0,2,4,4,4,4,8,1.01,3.39,0.6,0.68,0.63,2.67,,"CO",0.6,1030291,"SS",1.01,0,0,2,31,88,89,89,90,0,1,12,90,210,219,222,231,581222,581206,0.53,581223,581223,0.35,581208,581206,1.41876430122401
