"eventid","hhnum","whogotpnum","athome","date","date_flag","startmon","daynum","daynum_flag","placeid","placecateg","placecateg_ers","placetype","placeedit_type","placeedit_spaces","placeedit_case","placeedit_name","placeclean_flag","placedist_s","placedist_d","placetime_d","placedist_w","placetime_w","placesnap","placesnap_flag","placesnaptype","free","free_flag","totalpaid","totalpaid_flag","receiptreportedbp","receiptreportedph","receiptobserved","couponsreported","couponsobserved","loyaltycard","storesavings","couponsgeneral","paytypenum","cash","check","creditcard","debitcard","ebt_snap","ebt_snapamt","snapamt_flag","ebt_tanf","ebt_tanfamt","ebt_unk","ebt_unkamt","wic","wicamt","wicamt_flag","giftcard","paytype_flag","itemstot","itemsscanned","itemsbook","itemsblue","itemsreceipt","nummissprices","iteminfotype","reportmethod","booktype","bookpnum","startdate_flag","scandate_flag","abletoscanbp","abletoscanph","practice_flag","manualmatch_flag","moved_flag","multplaces_flag"
65792,100012,1,1,1/10/2013,0,1,2,0,1017721,1,,122,,,,,3,0.327358500249764,0.682,2.37,0.662,12.45,1,0,"SM",0,0,1.8,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,2,2,0,0,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
66220,100012,1,1,1/11/2013,0,1,3,0,1017721,1,,122,,,,,3,0.327358500249764,0.682,2.37,0.662,12.45,1,0,"SM",0,0,22.39,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,8,6,0,0,2,,1,6,"Primary",1,0,0,1,0,0,0,0,0
66221,100012,1,1,1/12/2013,0,1,4,0,1017721,1,,122,,,,,3,0.327358500249764,0.682,2.37,0.662,12.45,1,0,"SM",0,0,9.62,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,3,3,0,0,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
66222,100012,1,1,1/13/2013,0,1,5,0,1017721,1,,122,,,,,3,0.327358500249764,0.682,2.37,0.662,12.45,1,0,"SM",0,0,39.75,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,13,13,0,0,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
66485,100012,2,1,1/14/2013,0,1,6,0,1017721,1,,122,,,,,3,0.327358500249764,0.682,2.37,0.662,12.45,1,0,"SM",0,0,54.67,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,28,22,0,0,6,,1,6,"Adult",2,0,0,1,0,0,0,0,0
66486,100012,2,1,1/14/2013,0,1,6,0,1076160,1,,122,,,,,3,0.334685230647059,0.557,2.65,0.557,10.45,1,0,"SM",0,0,5.34,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,1,1,0,0,0,,1,6,"Adult",2,0,0,1,0,0,0,0,0
32752,100015,1,1,8/28/2012,0,8,2,0,1143588,1,,122,,,,,3,2.33203315171459,2.533,8.62,-996,-996,1,0,"SM",0,0,8.79,0,0,0,0,0,,0,,,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,1,1,0,0,0,,2,5,"Primary",1,0,0,1,0,0,0,1,0
33372,100015,1,1,8/29/2012,0,8,3,0,1053823,1,,122,,,,,3,1.04152904061908,1.352,7.38,-996,-996,1,0,"SM",0,0,5.99,0,0,0,0,,,,,,,,,,,,-996,-996,,-996,,-996,,-996,-996,,0,2,0,0,2,0,,2,5,"Primary",1,0,0,2,0,0,0,0,0
33373,100015,1,1,8/29/2012,0,8,3,0,1131540,1,,122,,,,,3,1.46107614260768,2.676,7.52,-996,-996,1,0,"SM",0,0,6.4,0,1,1,0,0,,0,,,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,2,1,0,1,0,,2,5,"Primary",1,0,0,2,0,0,0,1,0
33377,100015,1,1,8/30/2012,0,8,4,0,1053823,1,,122,,,,,3,1.04152904061908,1.352,7.38,-996,-996,1,0,"SM",0,0,10.52,0,,1,0,0,,0,,,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,3,2,0,1,0,,2,5,"Primary",1,0,0,1,0,0,1,0,0
33380,100015,1,1,8/31/2012,0,8,5,0,1131540,1,,122,,,,,3,1.46107614260768,2.676,7.52,-996,-996,1,0,"SM",0,0,4.12,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,2,1,1,0,0,,1,6,"Primary",1,0,0,2,0,0,0,0,0
33381,100015,1,1,8/31/2012,0,8,5,0,1053823,1,,122,,,,,3,1.04152904061908,1.352,7.38,-996,-996,1,0,"SM",0,0,4.74,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,1,1,0,0,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
13422,100024,1,1,6/10/2012,0,6,1,0,1100395,1,,102,,,,,3,5.46679135822523,7.706,15.38,-996,-996,1,0,"CO",0,0,18.2,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,9,9,0,0,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
