hhnum,pnum,order,name_flag,match_flag,nodata_flag,startmon,startdate_flag,day1,day2,day3,day4,day5,day6,day7,days_flag,brkfst1,brkfst2,brkfst3,brkfst4,brkfst5,brkfst6,brkfst7,lunch1,lunch2,lunch3,lunch4,lunch5,lunch6,lunch7,dinner1,dinner2,dinner3,dinner4,dinner5,dinner6,dinner7,snackam1,snackam2,snackam3,snackam4,snackam5,snackam6,snackam7,snackpm1,snackpm2,snackpm3,snackpm4,snackpm5,snackpm6,snackpm7
100012,1,1,0,0,0,1,0,4,5,6,7,1,2,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100012,2,2,0,0,0,1,0,4,5,6,7,1,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0
100012,3,3,0,3,0,1,0,4,5,6,7,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
100012,4,4,0,0,0,1,0,4,5,6,7,1,2,3,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1
100012,5,5,0,0,0,1,0,4,5,6,7,1,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1
100015,1,1,0,0,0,8,0,2,3,4,5,6,7,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
100024,1,1,0,0,0,6,0,1,2,3,4,5,6,7,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100024,2,2,0,0,0,6,0,1,2,3,4,5,6,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100026,1,1,0,0,0,7,0,7,1,2,3,4,5,6,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1
100026,2,2,0,4,0,7,0,7,1,2,3,4,5,6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1
100026,3,3,0,4,0,7,0,7,1,2,3,4,5,6,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1
100028,1,1,2,4,0,5,0,1,2,3,4,5,6,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100028,2,2,2,4,0,5,0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100028,3,3,2,4,0,5,0,1,2,3,4,5,6,7,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100028,4,4,2,4,0,5,0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100028,5,5,2,4,0,5,0,1,2,3,4,5,6,7,0,1,,0,0,0,0,0,0,,0,0,0,0,0,1,,1,1,1,1,1,0,,0,0,0,0,0,0,,0,0,0,0,0
100028,6,6,2,4,0,5,0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100028,7,,3,5,2,5,0,1,2,3,4,5,6,7,1,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993
100031,1,1,0,0,0,5,0,3,4,5,6,7,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
100031,2,2,0,0,0,5,0,3,4,5,6,7,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
100040,1,1,0,0,0,5,0,5,6,7,1,2,3,4,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100040,2,2,0,0,0,5,0,5,6,7,1,2,3,4,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100049,1,1,0,4,0,11,0,5,6,7,1,2,3,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100049,2,2,0,4,0,11,0,5,6,7,1,2,3,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100049,3,3,0,4,0,11,0,5,6,7,1,2,3,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100053,1,1,0,3,0,9,0,5,6,7,1,2,3,4,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1
100053,2,2,0,0,0,9,0,5,6,7,1,2,3,4,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100054,1,1,0,0,1,8,0,6,7,1,2,3,4,5,0,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993
100054,2,2,0,0,1,8,0,6,7,1,2,3,4,5,0,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993
100054,3,,3,5,2,8,0,6,7,1,2,3,4,5,1,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993
100054,4,,3,5,2,8,0,6,7,1,2,3,4,5,1,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993
100055,1,1,0,0,0,10,0,1,2,3,4,5,6,7,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0
100055,2,4,0,3,0,10,0,1,2,3,4,5,6,7,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100055,3,2,0,0,0,10,0,1,2,3,4,5,6,7,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100055,4,3,0,0,0,10,0,1,2,3,4,5,6,7,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
100060,1,1,0,0,0,7,0,2,3,4,5,6,7,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
100060,2,2,0,0,0,7,0,2,3,4,5,6,7,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100061,1,1,1,2,0,9,0,4,5,6,7,1,2,3,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
100067,1,1,0,3,0,8,0,4,5,6,7,1,2,3,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100067,2,2,0,0,0,8,0,4,5,6,7,1,2,3,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
100067,3,3,0,0,0,8,0,4,5,6,7,1,2,3,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100067,4,4,0,0,0,8,0,4,5,6,7,1,2,3,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
100067,5,5,0,0,0,8,0,4,5,6,7,1,2,3,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
100067,6,6,0,0,0,8,0,4,5,6,7,1,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100069,1,1,0,0,0,5,0,6,7,1,2,3,4,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1
